Org,URL,Description
Sexual Assault anInterpersonal Violence Prevention and Education,https://depauw.campuslabs.com/engage/organization/preventionandeducation,
21st Century Musician Initiative - DePauw Centers,https://depauw.campuslabs.com/engage/organization/21cm,
A Midwestern Review,https://depauw.campuslabs.com/engage/organization/amidwesternreview,
Academic Affairs,https://depauw.campuslabs.com/engage/organization/academicaffairs,
Academic Resource Center (ARC),https://depauw.campuslabs.com/engage/organization/arc,
Academic Success of Academic Life,https://depauw.campuslabs.com/engage/organization/academicsuccess,
Admission Ambassadors,https://depauw.campuslabs.com/engage/organization/admissionintern,
Admission Tiger Assistant,https://depauw.campuslabs.com/engage/organization/admissiontigerassistant,
African Students' Association,https://depauw.campuslabs.com/engage/organization/asa,
Alpha Chi Omega,https://depauw.campuslabs.com/engage/organization/alphachiomega,
Alpha Kappa Alpha,https://depauw.campuslabs.com/engage/organization/alphakappaalpha,
Alpha Phi,https://depauw.campuslabs.com/engage/organization/alphaphi,
Alpha Phi Alpha,https://depauw.campuslabs.com/engage/organization/alphaphialpha,
Alpha Psi Omega (Duzer Du),https://depauw.campuslabs.com/engage/organization/alphapsiomega,
Alpha Tau Omega,https://depauw.campuslabs.com/engage/organization/alphatauomega,
Art Galleries & University Collections,https://depauw.campuslabs.com/engage/organization/artcollections,
Arts and Crafts Club,https://depauw.campuslabs.com/engage/organization/artsandcrafts,
Arts at DePauw,https://depauw.campuslabs.com/engage/organization/performingartsseries,
"Asher Office of Undergraduate Research, Scholarship & Creative Activity",https://depauw.campuslabs.com/engage/organization/asher,
Asian Studies,https://depauw.campuslabs.com/engage/organization/asianstudies,
Association for Computing Machinery - Women,https://depauw.campuslabs.com/engage/organization/acm-w,
Association of African-American Students,https://depauw.campuslabs.com/engage/organization/aaas,
Athletics,https://depauw.campuslabs.com/engage/organization/edit,
Best Buddies International,https://depauw.campuslabs.com/engage/organization/depauwbestbuddies,
Beta Theta Pi,https://depauw.campuslabs.com/engage/organization/betathetapi,
Biology Department,https://depauw.campuslabs.com/engage/organization/biologydepartment,
Biology Greenhouse,https://depauw.campuslabs.com/engage/organization/biologygreenhouse,
Bon Appetit,https://depauw.campuslabs.com/engage/organization/bonappetit,
Bonner Scholars,https://depauw.campuslabs.com/engage/organization/bonner,
Brazilian Jiu-Jitsu Club,https://depauw.campuslabs.com/engage/organization/brazilianjitsu,
Campus Activities,https://depauw.campuslabs.com/engage/organization/campusactivities,
Campus Labs IT Group,https://depauw.campuslabs.com/engage/organization/itgroup,
Campus Labs Training and Support,https://depauw.campuslabs.com/engage/organization/campuslabssupport,
CampusLabs,https://depauw.campuslabs.com/engage/organization/studentorganizations,
Caribbean Student Association,https://depauw.campuslabs.com/engage/organization/caribbeanstudentassociation,
Cash Receipts Office,https://depauw.campuslabs.com/engage/organization/cashreceipts,
CDI Leadership CLUB,https://depauw.campuslabs.com/engage/organization/cdileadershipclub,
Center for Spiritual Life,https://depauw.campuslabs.com/engage/organization/spirituallife,
Center for Sustainability,https://depauw.campuslabs.com/engage/organization/sustain,
Chemistry Department,https://depauw.campuslabs.com/engage/organization/chem,
Civic Fellows,https://depauw.campuslabs.com/engage/organization/civicfellows,
Classical Studies,https://depauw.campuslabs.com/engage/organization/classics,
Classics Club,https://depauw.campuslabs.com/engage/organization/classicsclub,
College Mentors for Kids,https://depauw.campuslabs.com/engage/organization/collegementorsforkids,
Committee for Latinx Concerns,https://depauw.campuslabs.com/engage/organization/committeeforlatinoconcerns,
Communication Department,https://depauw.campuslabs.com/engage/organization/communication,
Compton Center for Peace and Justice,https://depauw.campuslabs.com/engage/organization/compton,
Computer Science Department,https://depauw.campuslabs.com/engage/organization/computerscience,
Computing Opportunities for Students of Color,https://depauw.campuslabs.com/engage/organization/csoc,
Connections Mentor Program,https://depauw.campuslabs.com/engage/organization/connectionsmentoringprogram,
Contemporary Ensemble Club,https://depauw.campuslabs.com/engage/organization/contemporaryensembleclub,
Coordinator of Academic Talks,https://depauw.campuslabs.com/engage/organization/talk,
Counseling Services,https://depauw.campuslabs.com/engage/organization/counselingservices,
Counseling Services Outreach Program,https://depauw.campuslabs.com/engage/organization/counselingoutreach,
D3TV - DePauw Student Television,https://depauw.campuslabs.com/engage/organization/d3tv,
Data Analytics Group,https://depauw.campuslabs.com/engage/organization/dataanalytics,
Dean of Students Office,https://depauw.campuslabs.com/engage/organization/deanofstudents,
Delta Gamma,https://depauw.campuslabs.com/engage/organization/deltagamma,
Delta Tau Delta,https://depauw.campuslabs.com/engage/organization/deltataudelta,
Delta Upsilon,https://depauw.campuslabs.com/engage/organization/deltaupsilon,
Democratic Socialists Of DePauw,https://depauw.campuslabs.com/engage/organization/democraticsocialists,
Department of Art and Art History,https://depauw.campuslabs.com/engage/organization/art,
DePauw Actuarial Science Club,https://depauw.campuslabs.com/engage/organization/daso,
DePauw Art Walk,https://depauw.campuslabs.com/engage/organization/dpuartwalk,
DePauw Cheerleading,https://depauw.campuslabs.com/engage/organization/cheerleading,
DePauw China Connection,https://depauw.campuslabs.com/engage/organization/dcc,
DePauw Dance Marathon,https://depauw.campuslabs.com/engage/organization/dpudance,
DePauw Data Science Club,https://depauw.campuslabs.com/engage/organization/ddsc,
DePauw Esports,https://depauw.campuslabs.com/engage/organization/depauwesports,
DePauw Events Committee,https://depauw.campuslabs.com/engage/organization/depauweventscommittee,
DePauw Film Club,https://depauw.campuslabs.com/engage/organization/wedonthaveawebsite,
DePauw Gold Commitment,https://depauw.campuslabs.com/engage/organization/goldcommitmentprogram,
DePauw Hillel,https://depauw.campuslabs.com/engage/organization/depauwhillel,
Depauw Historical European Martial Arts Club,https://depauw.campuslabs.com/engage/organization/hema,
DePauw International Student Association,https://depauw.campuslabs.com/engage/organization/isa,
DePauw Libraries,https://depauw.campuslabs.com/engage/organization/libraries,
DePauw MAPS,https://depauw.campuslabs.com/engage/organization/maps,
DePauw Mathematics Club,https://depauw.campuslabs.com/engage/organization/mathclub,
DePauw Neurodivergence Inclusion Association,https://depauw.campuslabs.com/engage/organization/dpnia,
DePauw Pool Club,https://depauw.campuslabs.com/engage/organization/depauwpool,
DePauw Pre-Surgery Club,https://depauw.campuslabs.com/engage/organization/psc,
DePauw Programming Council,https://depauw.campuslabs.com/engage/organization/dpupc,
DePauw Robotics Club,https://depauw.campuslabs.com/engage/organization/depauw_robotics,
DePauw Rock Climbing Club,https://depauw.campuslabs.com/engage/organization/rockclimbingclub,
Depauw Rugby Club,https://depauw.campuslabs.com/engage/organization/rugbyclub,
DePauw Service,https://depauw.campuslabs.com/engage/organization/dpuservice,
DePauw Student Government,https://depauw.campuslabs.com/engage/organization/dsg,
DePauw Theatre,https://depauw.campuslabs.com/engage/organization/theatre,
DePauw Ultimate Frisbee,https://depauw.campuslabs.com/engage/organization/dpufrisbee,
DePauw University Frisbee Golf Club,https://depauw.campuslabs.com/engage/organization/depauwfrolf,
DePauw Water Polo Club,https://depauw.campuslabs.com/engage/organization/depauwwaterpolo,
DePauwCappella,https://depauw.campuslabs.com/engage/organization/depauwcappella,
Dharma,https://depauw.campuslabs.com/engage/organization/dharma,
Diverse Athletes Association,https://depauw.campuslabs.com/engage/organization/studentathletesofcolor,
Economic Department,https://depauw.campuslabs.com/engage/organization/economic,
Ed Studies Field Experience,https://depauw.campuslabs.com/engage/organization/edstudiesfieldexperience,
Education Studies,https://depauw.campuslabs.com/engage/organization/edstudies,
Elite Precizion,https://depauw.campuslabs.com/engage/organization/eliteprecision,
English Department,https://depauw.campuslabs.com/engage/organization/englishdepartment,
English for Academic Purposes,https://depauw.campuslabs.com/engage/organization/englishforacademicpurposes,
Environmental Fellows Program,https://depauw.campuslabs.com/engage/organization/environmentalfellowsprorgam,
Exalt! Gospel Choir,https://depauw.campuslabs.com/engage/organization/exalt,
Facilities Management,https://depauw.campuslabs.com/engage/organization/facilities,
Faculty Development,https://depauw.campuslabs.com/engage/organization/facultydevelopment,
Faculty Instructional Technology Support,https://depauw.campuslabs.com/engage/organization/fits,
Fellowship of Christian Athletes,https://depauw.campuslabs.com/engage/organization/depauwfca,
Feminista!,https://depauw.campuslabs.com/engage/organization/feminista,
Filipino Students Association,https://depauw.campuslabs.com/engage/organization/fsa,
Film Studies,https://depauw.campuslabs.com/engage/organization/filmstudies,
Financial Aid Office,https://depauw.campuslabs.com/engage/organization/finaid,
First-Year Student Orientation,https://depauw.campuslabs.com/engage/organization/first-yearstudentorientation,
Fraternity anSorority Life,https://depauw.campuslabs.com/engage/organization/ofs,
Future Medical Professionals,https://depauw.campuslabs.com/engage/organization/fump,
Gaming Club,https://depauw.campuslabs.com/engage/organization/gamingclub,
Gamma Iota Sigma,https://depauw.campuslabs.com/engage/organization/gammaiotasigma,
Geology Club,https://depauw.campuslabs.com/engage/organization/geologyclub,
Geoscience,https://depauw.campuslabs.com/engage/organization/geoscience,
German,https://depauw.campuslabs.com/engage/organization/german,
GIS,https://depauw.campuslabs.com/engage/organization/gis,
Global French,https://depauw.campuslabs.com/engage/organization/globalfrench,
Global Health,https://depauw.campuslabs.com/engage/organization/globalhealth,
Global Health Program,https://depauw.campuslabs.com/engage/organization/globalhealthprogram,
Global Partners Program,https://depauw.campuslabs.com/engage/organization/globalpartnersprogram,
Gold Commitment Professional Programs,https://depauw.campuslabs.com/engage/organization/goldcommitmentprofessionalprograms,
Green Dot,https://depauw.campuslabs.com/engage/organization/greendot,
Grounded,https://depauw.campuslabs.com/engage/organization/grounded,
Growing IE in STEM,https://depauw.campuslabs.com/engage/organization/growingiestem,
Hartman Center for Civic Engagement,https://depauw.campuslabs.com/engage/organization/hartman,
Healthy Living Residence Hall Program,https://depauw.campuslabs.com/engage/organization/healthyliving,
Hearing Using Hands (H.U.H.),https://depauw.campuslabs.com/engage/organization/dpuaslclub,
HelpDesk and User Services,https://depauw.campuslabs.com/engage/organization/hdus,
Her Campus DePauw,https://depauw.campuslabs.com/engage/organization/hercampus,
Hispanic Studies,https://depauw.campuslabs.com/engage/organization/hispanicstudies,
History Department,https://depauw.campuslabs.com/engage/organization/history,
Honor Scholar Program at DePauw University,https://depauw.campuslabs.com/engage/organization/honorscholar,
House of Opulence,https://depauw.campuslabs.com/engage/organization/houseofopulence,
Housing and Residence Life,https://depauw.campuslabs.com/engage/organization/housingandresidencelife,
Hubbard Center for Student Engagement,https://depauw.campuslabs.com/engage/organization/hubbard,
Human Resources,https://depauw.campuslabs.com/engage/organization/hr,
Information Services Office,https://depauw.campuslabs.com/engage/organization/is,
Information Technology Associates Program (ITAP),https://depauw.campuslabs.com/engage/organization/itap,
Interfraternal Council (IFC),https://depauw.campuslabs.com/engage/organization/ifc,
International Computer Science Association,https://depauw.campuslabs.com/engage/organization/internationalcomputerscienceassociation,
International Student Ambassador Program,https://depauw.campuslabs.com/engage/organization/internationalstudentambassadorprogram,
InterVarsity,https://depauw.campuslabs.com/engage/organization/intervarsity,
Intramurals at Depauw,https://depauw.campuslabs.com/engage/organization/intramurals,
Italian Studies,https://depauw.campuslabs.com/engage/organization/italianstudies,
J-Club,https://depauw.campuslabs.com/engage/organization/jclub,
