Org,URL,Description,Image,Summary
Sexual Assault anInterpersonal Violence Prevention and Education,https://depauw.campuslabs.com/engage/organization/preventionandeducation,"In support of University efforts to combat sexual assault and interpersonal violence, this office provides leadership and expertise to the campus community concerning prevention and education efforts to reduce and eliminate sexualized violence. 
 We offer programming, discussion, and skill-building experiences that support students as they grow into adults helping combat sexual violence in the communities around them. 
 Communication, consent, values, bystander intervention, safe use of alcohol, boundaries, LGBTQIA specific concerns and more are some of the topics we prioritize. 
  ",https://se-images.campuslabs.com/clink/images/f1db5508-d969-47cc-9f43-efe818c2a7f46926f007-77a5-40e6-9ffa-5e0afce0f65a.PNG,Faculty and Staff Groups: University Offices & Programs
21st Century Musician Initiative - DePauw Centers,https://depauw.campuslabs.com/engage/organization/21cm,"The 21stCentury Musician Initiative places DePauw in a national dialogue about reimagining skills and mindsets and repositioning the curiosity, creativity and collaboration at the heart of music-making. The initiative strives to establish music&rsquo;s relevance at the center of our communities and to develop curricular and cocurricular best practices at DePauw that enable our students to live a life of meaning and understanding; make a difference in the world, with special attention to access, inclusivity and awareness; and develop a thriving career. 
 Students benefit from a commitment to extended visits by renowned guest artists each semester. The Green Guest Artist concerts, the Music of the 21stCentury Festival, a Broadway Masters program, guest scholars, career-building workshops and internships are among the immersive programs that connect our students to musicians who are forging new paths in the musical world. 
 21CM at DePauw offers a Community Music Program of musical instruction in instrumental and vocal music and Kindermusik&reg; classes that foster young children&rsquo;s musical growth. As part of the program, the school has connected with local schools to develop youth strings and jazz programs. 
 21CM is also a curriculum that integrates new courses into the School of Music degrees: courses on entrepreneurship and state of the art; a practicum course; and electives. Core music courses are being reimagined to incorporate more musical genres and rethink how music is taught to connect with current music students. ",https://se-images.campuslabs.com/clink/images/eaf42186-2d0c-4299-bcd0-c269ea9641d528323ce9-857d-455d-beae-065270d4f5f8.png,Faculty and Staff Groups: University Offices & Programs
A Midwestern Review,https://depauw.campuslabs.com/engage/organization/amidwesternreview,"<em>A Midwestern Review</em>is DePauw University's undergraduate literary magazine, dedicated to publishing our students' poetry, prose, and art. ",,Student Groups: DSG-Recognized 
Academic Affairs,https://depauw.campuslabs.com/engage/organization/academicaffairs,,,Faculty and Staff Groups: University Offices & Programs
Academic Resource Center (ARC),https://depauw.campuslabs.com/engage/organization/arc,"Consultants from the Writing, Quantitative Reasoning, and Speaking and Listening Centers look forward to working with you on class papers, presentations, and problem sets, and to helping you maintain a strong and happy academic life. We are located in The Learning Commons, Roy O. West Library 101. Sign up for an appointment at<strong><a class=""x_x_x_x_x_contextualized"" href=""https://depauw.mywconline.com/"" target=""_blank"" rel=""noopener"">https://depauw.mywconline.com</a></strong> 
  
 The <a href=""https://www.depauw.edu/academics/academic-resources/academic-resource-center/""> ARC website</a> also has a variety of helpful information, videos, and study strategies.<br /><br />If you have questions about the <strong>W Center</strong>, please email <a href=""mailto:lynnishikawa@depauw.edu""> Lynn Ishikawa</a>; S Center, <a href=""mailto:matthewmeier@depauw.edu"">Matt Meier</a>;<strong>Q Center</strong>,<a href=""mailto:ashleypuzzo@depauw.edu"" target=""_blank"" rel=""noopener"">Ash Puzzo</a> ",https://se-images.campuslabs.com/clink/images/e72cb4e5-2897-4273-8202-4a82b7474615d0eeeb38-efca-472a-9ac9-90b2faebf096.png,Faculty and Staff Groups: University Offices & Programs
Academic Success of Academic Life,https://depauw.campuslabs.com/engage/organization/academicsuccess,,,Faculty and Staff Groups: University Offices & Programs
Admission Ambassadors,https://depauw.campuslabs.com/engage/organization/admissionintern,,,Faculty and Staff Groups: University Offices & Programs
Admission Tiger Assistant,https://depauw.campuslabs.com/engage/organization/admissiontigerassistant,,,Faculty and Staff Groups: University Offices & Programs
African Students' Association,https://depauw.campuslabs.com/engage/organization/asa,"The African Students' Association serves to create spaces to uplift and strengthen African Students, as well as students interested in Africa's diverse cultures at DePauw University. ",https://se-images.campuslabs.com/clink/images/b0dd0edd-26e8-4907-87d2-c0a3017c9cca9d910517-5ddf-4583-8b40-019c1a2b70c6.png,Student Groups: DSG-Recognized 
Alpha Chi Omega,https://depauw.campuslabs.com/engage/organization/alphachiomega,"Greek Student Group: 
 Alpha Chi Omega is a member of the National Panhellenic Conferencethe governing council of 26 women's fraternities. Alpha Chi Omega was founded at DePauw University, meaning the chapter is recognized as the alpha chapter of Alpha Chi Omega. 
 The real, strong women who founded Alpha Chi Omega were music students here at DePauw University in Greencastle, Indiana on October 15, 1885. As musicians, their founders included three pianists, a cellist/violinist/bassist, a composer and two singers. As collegians, they sought &ldquo;friendship, artistic society and advancement of the &lsquo;principles of true womanhood.&rsquo;&rdquo; 
 The national philanthropy of Alpha Chi Omega is the Alpha Chi Omega Foundation, for Domestic violence awareness. 
 Alpha Chi Omega's colors are Scarlet Red and Olive Green, their flower is the Red Carnation and their symbol is the Lyre. 
 They recognize themselves as real strong women, and their motto is ""together let us seek the heights."" ",https://se-images.campuslabs.com/clink/images/1253006e-8b90-4c0a-b003-2514f7891e75d9560adf-fe83-4f35-b273-f8c04c56dd1b.png,Student Groups: Greek
